name,cuisine,category,tags,prepTime,cookTime,servings,description,pro_tip,ingredients,instructions,cal,protein,carbs,fat,fiber,allergens,status,name_en,lang
Spaghetti Carbonara,Italian,Dinner,quick;family-friendly,10,20,4,Sauce soyeuse aux œufs et au guanciale sur des spaghetti parfaitement cuits.,Incorporez davantage de jaunes pour une texture plus crémeuse et utilisez des grains de poivre fraîchement torréfiés et concassés à la main pour une profondeur aromatique supérieure.,400 g Spaghetti | 150 g Guanciale | 4 whole Eggs | 80 g Pecorino Romano | 2 tsp Black Pepper,"Porter de l'eau salée à ébullition. Cuire les spaghetti al dente. (10 min) | Faire griller le black pepper concassé à sec dans la poêle 30 secondes jusqu'à ce qu'il soit parfumé et fumant. Ajouter le guanciale et faire frire jusqu'à ce qu'il soit croustillant. Retirer la poêle du feu. | Fouetter les eggs (ou 2 eggs + 4 yolks pour une sauce plus riche et plus dorée) avec le Pecorino et le poivre torréfié. | Égoutter les pâtes, réserver 1 tasse d'eau de cuisson. Mélanger les pâtes chaudes avec le guanciale hors du feu. | Ajouter le mélange d'eggs (utiliser 2 yolks supplémentaires pour une sauce plus riche et plus dorée), mélanger vigoureusement en ajoutant l'eau de cuisson petit à petit jusqu'à ce qu'une sauce soyeuse et brillante enrobe les pâtes. Pas de cream nécessaire — l'émulsion vient des eggs, du cheese et de l'eau amidonnée.",620,28,68,26,3,gluten;dairy;eggs,Updated,Spaghetti Carbonara,fr
Pizza Margherita,Italian,Dinner,vegetarian;family-friendly,20,15,4,"La pizza napolitaine originale — tomate, mozzarella, basilic.",Terminer avec une huile d'olive extra vierge de haute qualité et du sel Maldon pour sublimer le profil de saveurs simple.,600 g Pizza Dough | 400 g San Marzano Tomatoes | 300 g Mozzarella | 20 g Basil | 2 tbsp Olive Oil,"Préparer la pâte : mélanger 400g de 00-grade flour (ou plain flour), 7g de yeast, 1 c. à café de salt, 240ml d'eau tiède, 1 c. à soupe d'olive oil. Pétrir 8 min jusqu'à obtenir une pâte lisse. Laisser reposer 1h jusqu'à ce qu'elle double de volume. Ou utiliser 600g de store-bought pizza dough. (60 min) | Préchauffer le four à 260°C avec une pierre à pizza. | Écraser les tomatoes à la main, assaisonner avec du salt. | Étirer la pâte finement. Étaler la sauce, ajouter la mozzarella déchirée. | Cuire 8 à 10 min jusqu'à ce que la croûte soit légèrement brûlée et que le cheese bouillonne. (10 min) | Garnir de fresh basil. Terminer avec un filet d'huile d'olive extra vierge de haute qualité ajoutée après la cuisson pour préserver son arôme.",480,20,64,16,3,gluten;dairy,Updated,Margherita Pizza,fr
Lasagne à la Bolognaise,Italian,Dinner,family-friendly;freezer-friendly,30,55,8,"Couches de bolognaise généreuse, de béchamel et de pâtes dorées au four.",Déglacer la viande avec du vin rouge sec et incorporer une mirepoix finement émincée pour plus de complexité.,400 g Lasagna Sheets | 700 g Ground Beef | 800 g Canned Tomatoes | 1 whole Onion | 3 cloves Garlic | 600 ml Milk | 60 g Butter | 50 g Flour | 100 g Parmesan | 200 g Mozzarella,"Faire revenir le beef avec l'onion et l'ail. Ajouter les tomatoes, laisser mijoter 45 min en remuant de temps en temps, jusqu'à ce que la sauce soit profonde et riche. (45 min) | Préparer la béchamel : faire fondre le butter, incorporer la flour au fouet, ajouter le milk, remuer jusqu'à épaississement. Assaisonner avec du salt, du white pepper et une généreuse râpée de fresh nutmeg. (10 min) | Former les couches : pasta, bolognaise, béchamel, cheese. Répéter deux fois. | Parsemer de Parmesan. Cuire au four à 190°C pendant 35 à 40 min. (38 min) | Laisser reposer 10 min avant de trancher. (10 min)",580,34,48,26,4,gluten;dairy;eggs,Updated,Beef Lasagna,fr
Risotto ai Funghi,Italian,Dinner,vegetarian,10,30,4,Riz Arborio crémeux aux champignons porcini et au parmesan affiné.,Terminer avec du thym frais et du butter froid pour sublimer le profil aromatique et obtenir un brillant digne des standards Michelin.,320 g Carnaroli Rice | 200 g Porcini Mushrooms | 2 whole Shallots | 150 ml White Wine | 1 l Vegetable Broth | 60 g Butter | 80 g Parmesan | 2 cloves Garlic,"Faire tremper les porcini dans de l'eau chaude pendant 20 min. Réserver le liquide de trempage. (20 min) | Faire revenir les shallots et l'ail dans le butter jusqu'à ce qu'ils soient tendres. Faire griller le rice 3 min en remuant constamment jusqu'à ce que les grains soient chauds au toucher et que les bords deviennent translucides. | Ajouter le white wine, remuer vigoureusement jusqu'à absorption complète. Ajouter le warm broth une louche à la fois, en remuant après chaque ajout, pendant 18 min. (18 min) | Ajouter les mushrooms et le liquide de trempage filtré. | Retirer du feu. Ajouter le cold cubed butter et le Parmesan, puis agiter vigoureusement hors du feu (mantecatura) jusqu'à ce que le risotto s'écoule comme une douce vague lorsqu'on secoue la casserole. Laisser reposer 1 min. (2 min)",520,14,72,18,3,dairy,Updated,Risotto ai Funghi,fr
Osso Buco,Italian,Dinner,slow-cook,20,90,4,Jarrets de veau braisés au vin blanc — un chef-d'œuvre milanais.,Ajouter une anchovy au soffritto pour un umami profond et terminer la sauce avec un montage au butter froid pour un brillant professionnel.,4 whole Veal Shanks | 250 ml White Wine | 1 whole Onion | 1 whole Carrot | 2 stalks Celery | 400 g Canned Tomatoes | 3 cloves Garlic | 1 tbsp Lemon Zest | 20 g Parsley | 3 tbsp Flour,"Fariner les shanks. Les faire dorer sur toutes les faces dans l'olive oil. (10 min) | Faire revenir l'onion, la carrot, le celery. Ajouter l'ail. (5 min) | Remettre le veal, ajouter le wine et faire réduire. Ajouter les tomatoes et le stock pour couvrir. | Braiser à 150°C pendant 2h30 à 3h jusqu'à ce que le collagène soit entièrement dissous et que la viande se détache de l'os. (180 min) | Préparer la gremolata avec du lemon zest, de l'ail et du parsley. Parsemer sur le plat avant de servir.",480,52,12,18,2,gluten,Updated,Osso Buco,fr
Tiramisu,Italian,Dessert,make-ahead;no-bake,30,0,8,Biscuits ladyfingers imbibés d'espresso et crème au mascarpone — le grand dessert italien.,Ajouter une pincée de sel Maldon à l'espresso pour accentuer le contraste avec la riche crème.,500 g Mascarpone | 5 whole Eggs | 100 g Sugar | 300 g Ladyfingers | 300 ml Espresso | 3 tbsp Cocoa Powder | 2 tbsp Marsala,Fouetter les egg yolks avec le sugar jusqu'à ce que le mélange blanchisse. Incorporer le mascarpone. (5 min) | Monter les whites en neige ferme. Incorporer au mascarpone. | Tremper brièvement les ladyfingers dans l'espresso mélangé au Marsala. | Former des couches de ladyfingers imbibés et de mélange au mascarpone. Saupoudrer de cocoa. Répéter les couches. Réfrigérer 4h minimum. (240 min) | Saupoudrer de cocoa avant de servir.,420,10,38,24,1,gluten;dairy;eggs,Updated,Tiramisu,fr
Penne all'Arrabbiata,Italian,Dinner,vegan;quick,5,20,4,Sauce tomate ardente à l'ail et au piment — audacieuse et satisfaisante.,Remplacer les flocons par des fresh Calabrian chilies et terminer avec une huile de finition cold-pressed de haute qualité.,400 g Penne | 800 g Canned Tomatoes | 4 cloves Garlic | 2 tsp Chilli Flakes | 4 tbsp Olive Oil | 15 g Parsley,"Faire revenir l'ail et le chilli dans l'olive oil jusqu'à ce qu'ils soient dorés. (3 min) | Ajouter les tomatoes, écraser et laisser mijoter 15 min. (15 min) | Cuire les penne al dente. Mélanger avec la sauce et le parsley.",480,14,82,12,6,gluten,Updated,Penne all'Arrabbiata,fr
Bruschetta al Pomodoro,Italian,Appetizer,vegan;quick,10,5,4,Pain grillé frotté à l'ail et garni de tomates mûres.,Sublimer avec un filet de vinaigre balsamique vieilli 25 ans et une garniture de micro-basilic pour une sophistication visuelle.,8 slices Sourdough Bread | 400 g Tomatoes | 2 cloves Garlic | 15 g Basil | 3 tbsp Olive Oil | 1 tsp Sea Salt,"Faire griller le bread jusqu'à ce que les bords soient légèrement brûlés. (4 min) | Frotter immédiatement avec l'ail coupé. | Couper les tomatoes en dés, mélanger avec l'oil, le basil et le salt. Déposer sur le bread.",220,7,32,8,3,gluten,Updated,Bruschetta al Pomodoro,fr
Gnocchi al Pesto,Italian,Dinner,vegetarian;quick,20,10,4,Gnocchi de pommes de terre moelleux mélangés à un pesto génois vibrant.,Incorporer du Pecorino Sardo et terminer avec un filet de citron pour illuminer les matières grasses.,800 g Potato Gnocchi | 60 g Basil | 40 g Pine Nuts | 60 g Parmesan | 1 clove Garlic | 100 ml Olive Oil,"Mixer le basil, les pine nuts, le Parmesan, l'ail et l'oil jusqu'à obtenir un pesto lisse. | Cuire les gnocchi jusqu'à ce qu'ils remontent à la surface, environ 2 min. (3 min) | Réserver ½ tasse d'eau de cuisson. Mélanger avec le pesto en ajoutant l'eau pour détendre la sauce.",540,14,68,24,3,gluten;dairy;nuts,Updated,Gnocchi al Pesto,fr
Saltimbocca alla Romana,Italian,Dinner,quick;gluten-free,10,12,4,"Veau au prosciutto et à la sauge, poêlé au vin blanc et au beurre.",Terminer la sauce avec du cold butter hors du feu pour une émulsion digne des standards Michelin.,600 g Veal Cutlets | 100 g Prosciutto | 12 leaves Sage | 120 ml White Wine | 50 g Butter | 2 tbsp Olive Oil,"Disposer le prosciutto et la sage sur chaque cutlet, fixer avec un cure-dent. | Faire frire côté prosciutto vers le bas pendant 2 min, retourner et cuire 1 min. (3 min) | Retirer le veal. Déglacer avec le wine, faire réduire de moitié. (3 min) | Remettre brièvement le veal et napper de sauce.",340,42,2,18,0,dairy,Updated,Saltimbocca alla Romana,fr
