name,cuisine,category,tags,prepTime,cookTime,servings,description,pro_tip,ingredients,instructions,cal,protein,carbs,fat,fiber,allergens,status,name_en,lang
Esparguete Carbonara,Italian,Dinner,quick;family-friendly,10,20,4,Molho sedoso de ovos e guanciale sobre esparguete cozido no ponto.,Incorpore mais gemas para uma textura mais cremosa e utilize pimenta preta acabada de torrar e esmagada à mão para uma profundidade aromática superior.,400 g Spaghetti | 150 g Guanciale | 4 whole Eggs | 80 g Pecorino Romano | 2 tsp Black Pepper,"Levar água salgada ao lume até ferver. Cozer o spaghetti al dente. (10 min) | Torrar a pimenta preta partida na frigideira seca durante 30 segundos até libertar aroma e fumo. Adicionar o guanciale e fritar até ficar estaladiço. Retirar a frigideira do lume. | Bater os eggs (ou 2 eggs + 4 yolks para um molho mais rico e dourado) com o Pecorino e a pimenta tostada. | Escorrer a massa, reservando 1 chávena da água de cozedura. Envolver a massa quente com o guanciale fora do lume. | Adicionar o egg mix (usar 2 extra yolks para um molho mais rico e dourado), envolver vigorosamente adicionando a água da massa pouco a pouco até obter um molho sedoso e brilhante que reveste a massa. Não é necessário cream — a emulsão resulta dos eggs, do queijo e da água com amido.",620,28,68,26,3,gluten;dairy;eggs,Updated,Spaghetti Carbonara,pt
Pizza Margherita,Italian,Dinner,vegetarian;family-friendly,20,15,4,"A pizza napolitana original — tomate, mozzarella e manjericão.",Termine com azeite extra virgem de qualidade superior e sal Maldon para realçar o perfil de sabor simples.,600 g Pizza Dough | 400 g San Marzano Tomatoes | 300 g Mozzarella | 20 g Basil | 2 tbsp Olive Oil,"Preparar a massa: misturar 400g de farinha 00 (ou farinha simples), 7g de yeast, 1 colher de chá de sal, 240ml de água morna, 1 colher de sopa de olive oil. Amassar 8 min até ficar lisa. Repousar 1 hora até duplicar. Ou utilizar 600g de massa de pizza comprada. (60 min) | Pré-aquecer o forno a 260°C com a pedra de pizza. | Esmagar os tomatoes à mão, temperar com sal. | Esticar a massa finamente. Espalhar o molho e adicionar a mozzarella rasgada. | Cozer 8–10 min até a crosta alourar e o queijo borbulhar. (10 min) | Finalizar com basil fresco. Terminar com um fio de azeite extra virgem de qualidade superior adicionado após a cozedura para preservar o seu aroma.",480,20,64,16,3,gluten;dairy,Updated,Margherita Pizza,pt
Lasanha de Carne,Italian,Dinner,family-friendly;freezer-friendly,30,55,8,"Camadas de bolonhesa rica, béchamel e massa cozida no forno até dourar.",Deglacear a carne com vinho tinto seco e incorporar um mirepoix finamente picado para maior complexidade.,400 g Lasagna Sheets | 700 g Ground Beef | 800 g Canned Tomatoes | 1 whole Onion | 3 cloves Garlic | 600 ml Milk | 60 g Butter | 50 g Flour | 100 g Parmesan | 200 g Mozzarella,"Refogar o beef com a onion e o garlic. Adicionar os tomatoes e cozinhar em lume brando durante 45 min, mexendo ocasionalmente, até o molho ficar denso e rico. (45 min) | Preparar o béchamel: derreter a butter, juntar a flour em fio batendo com vara de arame, adicionar o milk e mexer até engrossar. Temperar com sal, pimenta branca e uma generosa raspa de fresh nutmeg. (10 min) | Dispor em camadas: pasta, bolonhesa, béchamel, queijo. Repetir duas vezes. | Cobrir com Parmesan. Cozer no forno a 190°C durante 35–40 min. (38 min) | Repousar 10 min antes de fatiar. (10 min)",580,34,48,26,4,gluten;dairy;eggs,Updated,Beef Lasagna,pt
Risotto ai Funghi,Italian,Dinner,vegetarian,10,30,4,Arroz Arborio cremoso com cogumelos porcini e Parmesão curado.,Termine com tomilho fresco e manteiga fria para realçar o perfil aromático e o brilho ao nível Michelin.,320 g Carnaroli Rice | 200 g Porcini Mushrooms | 2 whole Shallots | 150 ml White Wine | 1 l Vegetable Broth | 60 g Butter | 80 g Parmesan | 2 cloves Garlic,"Demolhar os porcini em água quente durante 20 min. Reservar a água de demolho. (20 min) | Refogar os shallots e o garlic em butter até amolecerem. Tostar o rice durante 3 min mexendo constantemente até os grãos estarem quentes ao toque e as bordas ficarem translúcidas. | Adicionar o white wine, mexer vigorosamente até ser completamente absorvido. Adicionar o broth quente concha a concha, mexendo após cada adição, durante 18 min. (18 min) | Adicionar os mushrooms e a água de demolho coada. | Retirar do lume. Adicionar a cold butter cortada em cubos e o Parmesan, depois agitar vigorosamente fora do lume (mantecatura) até o risotto fluir como uma onda suave ao agitar a frigideira. Repousar 1 min. (2 min)",520,14,72,18,3,dairy,Updated,Risotto ai Funghi,pt
Osso Buco,Italian,Dinner,slow-cook,20,90,4,Jarrete de vitela estufado em vinho branco — uma obra-prima milanesa.,Adicionar uma anchovy ao soffritto para umami profundo e finalizar o molho com uma noz de manteiga fria para um brilho profissional.,4 whole Veal Shanks | 250 ml White Wine | 1 whole Onion | 1 whole Carrot | 2 stalks Celery | 400 g Canned Tomatoes | 3 cloves Garlic | 1 tbsp Lemon Zest | 20 g Parsley | 3 tbsp Flour,"Passar os shanks por flour. Dourar de todos os lados em olive oil. (10 min) | Refogar a onion, a carrot e o celery. Adicionar o garlic. (5 min) | Juntar a vitela, adicionar o wine e reduzir. Adicionar os tomatoes e o stock até cobrir. | Estufar a 150°C durante 2,5–3 horas até o colagénio se desfazer completamente e a carne se desprender do osso. (180 min) | Preparar a gremolata com lemon zest, garlic e parsley. Polvilhar por cima antes de servir.",480,52,12,18,2,gluten,Updated,Osso Buco,pt
Tiramisu,Italian,Dessert,make-ahead;no-bake,30,0,8,Palitos La Reine embebidos em espresso e creme de mascarpone — a grande sobremesa italiana.,Adicionar uma pitada de sal Maldon ao espresso para intensificar o contraste com o creme rico.,500 g Mascarpone | 5 whole Eggs | 100 g Sugar | 300 g Ladyfingers | 300 ml Espresso | 3 tbsp Cocoa Powder | 2 tbsp Marsala,Bater as egg yolks com o sugar até ficarem esbranquiçadas. Envolver o mascarpone. (5 min) | Bater as whites em castelo. Incorporar no mascarpone. | Mergulhar brevemente os ladyfingers em espresso com Marsala. | Dispor em camadas os ladyfingers embebidos e a mistura de mascarpone. Polvilhar com cocoa. Repetir as camadas. Refrigerar 4+ horas. (240 min) | Polvilhar com cocoa antes de servir.,420,10,38,24,1,gluten;dairy;eggs,Updated,Tiramisu,pt
Penne all'Arrabbiata,Italian,Dinner,vegan;quick,5,20,4,Molho de tomate picante com alho e malagueta — intenso e satisfatório.,Substitua as malaguetas em flocos por fresh Calabrian chilies e termine com um azeite de acabamento prensado a frio de qualidade superior.,400 g Penne | 800 g Canned Tomatoes | 4 cloves Garlic | 2 tsp Chilli Flakes | 4 tbsp Olive Oil | 15 g Parsley,"Refogar o garlic e o chilli em olive oil até dourarem. (3 min) | Adicionar os tomatoes, esmagar e cozinhar em lume brando durante 15 min. (15 min) | Cozer o penne al dente. Envolver com o molho e a parsley.",480,14,82,12,6,gluten,Updated,Penne all'Arrabbiata,pt
Bruschetta al Pomodoro,Italian,Appetizer,vegan;quick,10,5,4,Pão grelhado esfregado com alho e coberto com tomates maduros.,Eleve com um fio de balsâmico envelhecido 25 anos e uma guarnição de micro-manjericão para sofisticação visual.,8 slices Sourdough Bread | 400 g Tomatoes | 2 cloves Garlic | 15 g Basil | 3 tbsp Olive Oil | 1 tsp Sea Salt,"Grelhar o bread até as bordas ficarem tostadas. (4 min) | Esfregar imediatamente com o garlic cortado. | Cortar os tomatoes em cubos, envolver com oil, basil e sal. Cobrir o pão.",220,7,32,8,3,gluten,Updated,Bruschetta al Pomodoro,pt
Gnocchi al Pesto,Italian,Dinner,vegetarian;quick,20,10,4,Gnocchi de batata macios e fofos envolvidos em pesto genovês vibrante.,Incorpore Pecorino Sardo e termine com um fio de sumo de limão para equilibrar as gorduras.,800 g Potato Gnocchi | 60 g Basil | 40 g Pine Nuts | 60 g Parmesan | 1 clove Garlic | 100 ml Olive Oil,"Triturar o basil, os pine nuts, o Parmesan, o garlic e o oil até obter um pesto suave. | Cozer os gnocchi até subirem à superfície, cerca de 2 min. (3 min) | Reservar ½ chávena da água de cozedura. Envolver com o pesto, adicionando água para soltar.",540,14,68,24,3,gluten;dairy;nuts,Updated,Gnocchi al Pesto,pt
Saltimbocca alla Romana,Italian,Dinner,quick;gluten-free,10,12,4,"Vitela com presunto e salva, frita em vinho branco e manteiga.",Termine o molho com manteiga fria fora do lume para uma emulsão ao nível Michelin.,600 g Veal Cutlets | 100 g Prosciutto | 12 leaves Sage | 120 ml White Wine | 50 g Butter | 2 tbsp Olive Oil,"Colocar o prosciutto e a sage em cada cutlet e prender com um palito. | Fritar com o lado do prosciutto voltado para baixo durante 2 min, virar e cozinhar 1 min. (3 min) | Retirar a vitela. Deglacear com wine e reduzir a metade. (3 min) | Devolver a vitela brevemente e regar com o molho.",340,42,2,18,0,dairy,Updated,Saltimbocca alla Romana,pt
