name,cuisine,category,tags,prepTime,cookTime,servings,description,pro_tip,ingredients,instructions,cal,protein,carbs,fat,fiber,allergens,status,name_en,lang
Espaguete Carbonara,Italian,Dinner,quick;family-friendly,10,20,4,Molho sedoso de ovos e guanciale sobre espaguete perfeitamente cozido.,Acrescente mais gemas para uma textura mais cremosa e use pimenta-do-reino recém-torrada e amassada na hora para uma profundidade aromática superior.,400 g Spaghetti | 150 g Guanciale | 4 whole Eggs | 80 g Pecorino Romano | 2 tsp Black Pepper,"Leve água salgada ao fogo até ferver. Cozinhe o spaghetti al dente. (10 min) | Torre a black pepper quebrada na frigideira seca por 30 segundos até ficar aromática e levemente defumada. Adicione o guanciale e frite até ficar crocante. Retire a frigideira do fogo. | Bata os eggs (ou 2 eggs + 4 yolks para um molho mais rico e dourado) com o Pecorino e a pimenta torrada. | Escorra a pasta, reserve 1 xícara da água do cozimento. Misture a pasta quente com o guanciale fora do fogo. | Adicione a mistura de egg (use 2 yolks extras para um molho mais rico e dourado), mexa vigorosamente adicionando a água da pasta aos poucos até que um molho sedoso e brilhante envolva a pasta. Não é necessário cream — a emulsão vem dos eggs, do cheese e da água com amido.",620,28,68,26,3,gluten;dairy;eggs,Updated,Spaghetti Carbonara,pt_BR
Pizza Margherita,Italian,Dinner,vegetarian;family-friendly,20,15,4,"A pizza napolitana original — tomate, mozzarella e manjericão.",Finalize com azeite de oliva extravirgem de alta qualidade e sal Maldon para realçar o perfil de sabor simples.,600 g Pizza Dough | 400 g San Marzano Tomatoes | 300 g Mozzarella | 20 g Basil | 2 tbsp Olive Oil,"Prepare a massa: misture 400g de 00-grade flour (ou plain flour), 7g de yeast, 1 colher de chá de salt, 240ml de warm water, 1 colher de sopa de olive oil. Sove por 8 minutos até ficar lisa. Descanse por 1 hora até dobrar de tamanho. Ou use 600g de store-bought pizza dough. (60 min) | Pré-aqueça o forno a 260°C com a pedra de pizza. | Amasse os tomatoes com as mãos e tempere com salt. | Abra a massa bem fina. Espalhe o molho e adicione a mozzarella rasgada. | Asse por 8 a 10 minutos até a borda dourar e o cheese borbulhar. (10 min) | Finalize com fresh basil. Regue com um fio de azeite extravirgem de alta qualidade adicionado após o forno para preservar seu aroma.",480,20,64,16,3,gluten;dairy,Updated,Margherita Pizza,pt_BR
Lasanha à Bolonhesa,Italian,Dinner,family-friendly;freezer-friendly,30,55,8,"Camadas de bolonhesa rica, béchamel e massa assada até dourar.",Deglaceie a carne com vinho tinto seco e incorpore um mirepoix finamente picado para maior complexidade.,400 g Lasagna Sheets | 700 g Ground Beef | 800 g Canned Tomatoes | 1 whole Onion | 3 cloves Garlic | 600 ml Milk | 60 g Butter | 50 g Flour | 100 g Parmesan | 200 g Mozzarella,"Doure o beef com onion e garlic. Adicione os tomatoes e cozinhe em fogo baixo por 45 minutos, mexendo ocasionalmente, até o molho ficar encorpado e rico. (45 min) | Prepare o béchamel: derreta a butter, incorpore a flour com um fouet, adicione o milk e mexa até engrossar. Tempere com salt, white pepper e uma generosa raspagem de fresh nutmeg. (10 min) | Monte as camadas: pasta, bolonhesa, béchamel, cheese. Repita duas vezes. | Finalize com Parmesan. Asse a 190°C por 35 a 40 minutos. (38 min) | Descanse por 10 minutos antes de fatiar. (10 min)",580,34,48,26,4,gluten;dairy;eggs,Updated,Beef Lasagna,pt_BR
Risoto de Funghi,Italian,Dinner,vegetarian,10,30,4,Arroz Arborio cremoso com cogumelos porcini e Parmesan envelhecido.,Finalize com tomilho fresco e butter gelada para realçar o perfil aromático e obter o brilho padrão Michelin.,320 g Carnaroli Rice | 200 g Porcini Mushrooms | 2 whole Shallots | 150 ml White Wine | 1 l Vegetable Broth | 60 g Butter | 80 g Parmesan | 2 cloves Garlic,"Deixe os porcini de molho em hot water por 20 minutos. Reserve a água do molho. (20 min) | Refogue os shallots e o garlic na butter até amolecerem. Torre o rice por 3 minutos mexendo constantemente até os grãos ficarem quentes ao toque e as bordas ficarem translúcidas. | Adicione o white wine e mexa vigorosamente até ser completamente absorvido. Adicione o warm broth uma concha por vez, mexendo a cada adição, por 18 minutos. (18 min) | Adicione os mushrooms e a água do molho coada. | Retire do fogo. Adicione a cold butter cortada em cubos e o Parmesan, depois agite vigorosamente fora do fogo (mantecatura) até o risoto fluir como uma onda suave ao balançar a panela. Descanse por 1 minuto. (2 min)",520,14,72,18,3,dairy,Updated,Risotto ai Funghi,pt_BR
Osso Buco,Italian,Dinner,slow-cook,20,90,4,Músculo de vitela braseado no vinho branco — uma obra-prima milanesa.,Adicione uma anchovy ao soffritto para um umami profundo e finalize o molho montando com butter gelada para um brilho profissional.,4 whole Veal Shanks | 250 ml White Wine | 1 whole Onion | 1 whole Carrot | 2 stalks Celery | 400 g Canned Tomatoes | 3 cloves Garlic | 1 tbsp Lemon Zest | 20 g Parsley | 3 tbsp Flour,"Empane os shanks na flour. Doure todos os lados no olive oil. (10 min) | Refogue o onion, a carrot e o celery. Adicione o garlic. (5 min) | Volte o veal, adicione o wine e reduza. Acrescente os tomatoes e o stock até cobrir. | Braseie a 150°C por 2,5 a 3 horas até o colágeno ter se dissolvido completamente e a carne se soltar do osso. (180 min) | Prepare a gremolata com lemon zest, garlic e parsley. Distribua por cima antes de servir.",480,52,12,18,2,gluten,Updated,Osso Buco,pt_BR
Tiramisu,Italian,Dessert,make-ahead;no-bake,30,0,8,Ladyfingers encharcados de espresso e creme de mascarpone — a grande sobremesa italiana.,Adicione uma pitada de sal Maldon ao espresso para intensificar o contraste com o creme rico.,500 g Mascarpone | 5 whole Eggs | 100 g Sugar | 300 g Ladyfingers | 300 ml Espresso | 3 tbsp Cocoa Powder | 2 tbsp Marsala,Bata as egg yolks com o sugar até ficarem claras e cremosas. Incorpore o mascarpone. (5 min) | Bata as whites em neve firme. Incorpore ao mascarpone. | Mergulhe rapidamente os ladyfingers no espresso com Marsala. | Monte camadas de ladyfingers encharcados e creme de mascarpone. Polvilhe com cocoa. Repita as camadas. Leve à geladeira por 4 horas ou mais. (240 min) | Polvilhe com cocoa antes de servir.,420,10,38,24,1,gluten;dairy;eggs,Updated,Tiramisu,pt_BR
Penne all'Arrabbiata,Italian,Dinner,vegan;quick,5,20,4,Molho de tomate apimentado com alho e pimenta — marcante e satisfatório.,Substitua as flakes por pimentas Calabrian frescas e finalize com um azeite cold-pressed de alta qualidade.,400 g Penne | 800 g Canned Tomatoes | 4 cloves Garlic | 2 tsp Chilli Flakes | 4 tbsp Olive Oil | 15 g Parsley,"Refogue o garlic e o chilli no olive oil até dourarem. (3 min) | Adicione os tomatoes, amasse e cozinhe em fogo baixo por 15 minutos. (15 min) | Cozinhe o penne al dente. Misture com o molho e o parsley.",480,14,82,12,6,gluten,Updated,Penne all'Arrabbiata,pt_BR
Bruschetta ao Tomate,Italian,Appetizer,vegan;quick,10,5,4,Pão grelhado esfregado com alho e coberto com tomates maduros.,Eleve o prato com um fio de balsamic envelhecido por 25 anos e uma guarnição de micro-manjericão para sofisticação visual.,8 slices Sourdough Bread | 400 g Tomatoes | 2 cloves Garlic | 15 g Basil | 3 tbsp Olive Oil | 1 tsp Sea Salt,"Grelhe o bread até as bordas ficarem levemente carbonizadas. (4 min) | Esfregue imediatamente com o garlic cortado. | Corte os tomatoes em cubos, misture com oil, basil e salt. Coloque sobre o bread.",220,7,32,8,3,gluten,Updated,Bruschetta al Pomodoro,pt_BR
Nhoque ao Pesto,Italian,Dinner,vegetarian;quick,20,10,4,Nhoque de batata fofinho misturado ao vibrante pesto genovês.,Incorpore Pecorino Sardo e finalize com um toque de suco de limão para equilibrar as gorduras.,800 g Potato Gnocchi | 60 g Basil | 40 g Pine Nuts | 60 g Parmesan | 1 clove Garlic | 100 ml Olive Oil,"Bata o basil, os pine nuts, o Parmesan, o garlic e o oil até obter um pesto liso e homogêneo. | Cozinhe o gnocchi até subirem à superfície, cerca de 2 minutos. (3 min) | Reserve ½ xícara da água do cozimento. Misture com o pesto, adicionando a água para soltar o molho.",540,14,68,24,3,gluten;dairy;nuts,Updated,Gnocchi al Pesto,pt_BR
Saltimbocca alla Romana,Italian,Dinner,quick;gluten-free,10,12,4,"Vitela com presunto e sálvia, frita em vinho branco e manteiga.",Finalize o molho com butter gelada fora do fogo para uma emulsão no padrão Michelin.,600 g Veal Cutlets | 100 g Prosciutto | 12 leaves Sage | 120 ml White Wine | 50 g Butter | 2 tbsp Olive Oil,"Coloque o prosciutto e a sage sobre cada cutlet e fixe com um palito. | Frite com o lado do prosciutto para baixo por 2 minutos, vire e cozinhe por mais 1 minuto. (3 min) | Retire o veal. Deglaceie com wine e reduza pela metade. (3 min) | Volte o veal brevemente à frigideira e regue com o molho.",340,42,2,18,0,dairy,Updated,Saltimbocca alla Romana,pt_BR
