name,cuisine,category,tags,prepTime,cookTime,servings,description,pro_tip,ingredients,instructions,cal,protein,carbs,fat,fiber,allergens,status,name_en,lang
Spaghetti Carbonara,Italian,Dinner,quick;family-friendly,10,20,4,Salsa vellutata di uova e guanciale su spaghetti cotti alla perfezione.,Aggiungi più tuorli per una consistenza più cremosa e usa pepe in grani tostato al momento e pestato a mano per una profondità aromatica superiore.,400 g Spaghetti | 150 g Guanciale | 4 whole Eggs | 80 g Pecorino Romano | 2 tsp Black Pepper,"Portare a ebollizione l'acqua salata. Cuocere gli spaghetti al dente. (10 min) | Tostare il pepe nero spezzato nella padella asciutta per 30 secondi finché non è fragrante e fumante. Aggiungere il guanciale e friggere fino a renderlo croccante. Togliere la padella dal fuoco. | Sbattere le eggs (o 2 eggs + 4 yolks per una salsa più ricca e dorata) con il Pecorino e il pepe tostato. | Scolare la pasta, tenere da parte 1 tazza di acqua di cottura. Mantecare la pasta calda con il guanciale fuori dal fuoco. | Aggiungere il composto di egg (usare 2 extra yolks per una salsa più ricca e dorata), mescolare vigorosamente aggiungendo l'acqua della pasta poco alla volta fino a ottenere una salsa setosa e lucida che riveste la pasta. Nessuna cream necessaria — l'emulsione si ottiene da eggs, cheese e acqua amidacea.",620,28,68,26,3,gluten;dairy;eggs,Updated,Spaghetti Carbonara,it
Pizza Margherita,Italian,Dinner,vegetarian;family-friendly,20,15,4,"La pizza napoletana originale — pomodoro, mozzarella, basilico.",Completare con olio extravergine di oliva di alta qualità e sale Maldon per esaltare il profilo di sapore semplice.,600 g Pizza Dough | 400 g San Marzano Tomatoes | 300 g Mozzarella | 20 g Basil | 2 tbsp Olive Oil,"Preparare l'impasto: mescolare 400g di 00-grade flour (o plain flour), 7g di yeast, 1 cucchiaino di salt, 240ml di warm water, 1 cucchiaio di olive oil. Impastare 8 minuti fino a ottenere un composto liscio. Lasciare riposare 1 ora fino al raddoppio. Oppure usare 600g di store-bought pizza dough. (60 min) | Preriscaldare il forno a 260°C con la pietra per pizza. | Schiacciare i tomatoes a mano, condire con salt. | Stendere l'impasto sottile. Distribuire la salsa, aggiungere la mozzarella a pezzi. | Cuocere 8–10 minuti fino a quando la crosta si brucia e il cheese fa le bolle. (10 min) | Completare con fresh basil. Terminare con un filo di olio extravergine di oliva di alta qualità aggiunto dopo la cottura per preservarne l'aroma.",480,20,64,16,3,gluten;dairy,Updated,Margherita Pizza,it
Lasagna al Forno,Italian,Dinner,family-friendly;freezer-friendly,30,55,8,"Strati di ricco ragù bolognese, besciamella e pasta cotti fino a doratura.",Sfumare la carne con vino rosso secco e incorporare un mirepoix finemente tritato per maggiore complessità.,400 g Lasagna Sheets | 700 g Ground Beef | 800 g Canned Tomatoes | 1 whole Onion | 3 cloves Garlic | 600 ml Milk | 60 g Butter | 50 g Flour | 100 g Parmesan | 200 g Mozzarella,"Rosolare il beef con onion e garlic. Aggiungere i tomatoes, cuocere a fuoco lento 45 minuti mescolando di tanto in tanto, fino a ottenere una salsa densa e ricca. (45 min) | Preparare la besciamella: sciogliere il butter, incorporare la flour con una frusta, aggiungere il milk, mescolare fino a addensare. Condire con salt, white pepper e una generosa grattugiata di fresh nutmeg. (10 min) | Fare gli strati: pasta, bolognese, besciamella, cheese. Ripetere due volte. | Completare con Parmesan. Cuocere in forno a 190°C per 35–40 minuti. (38 min) | Lasciare riposare 10 minuti prima di tagliare. (10 min)",580,34,48,26,4,gluten;dairy;eggs,Updated,Beef Lasagna,it
Risotto ai Funghi,Italian,Dinner,vegetarian,10,30,4,Riso Arborio cremoso con funghi porcini e Parmigiano stagionato.,Completare con timo fresco e burro freddo per esaltare il profilo aromatico e la lucentezza fino agli standard Michelin.,320 g Carnaroli Rice | 200 g Porcini Mushrooms | 2 whole Shallots | 150 ml White Wine | 1 l Vegetable Broth | 60 g Butter | 80 g Parmesan | 2 cloves Garlic,"Mettere in ammollo i porcini in acqua calda per 20 minuti. Conservare il liquido di ammollo. (20 min) | Soffriggere gli shallots e il garlic nel butter fino a renderli morbidi. Tostare il rice per 3 minuti mescolando continuamente fino a quando i chicchi sono caldi al tatto e i bordi diventano traslucidi. | Aggiungere il white wine, mescolare vigorosamente fino a completo assorbimento. Aggiungere il warm broth un mestolo alla volta, mescolando dopo ogni aggiunta, 18 minuti. (18 min) | Aggiungere i mushrooms e il liquido di ammollo filtrato. | Togliere dal fuoco. Aggiungere il cold cubed butter e il Parmesan, poi agitare vigorosamente fuori dal fuoco (mantecatura) fino a quando il risotto scorre come una morbida onda quando si scuote la padella. Riposare 1 minuto. (2 min)",520,14,72,18,3,dairy,Updated,Risotto ai Funghi,it
Osso Buco,Italian,Dinner,slow-cook,20,90,4,Stinchi di vitello brasati nel vino bianco — un capolavoro milanese.,Aggiungere un'anchovy al soffritto per un umami profondo e completare la salsa con una noce di cold butter per una lucentezza professionale.,4 whole Veal Shanks | 250 ml White Wine | 1 whole Onion | 1 whole Carrot | 2 stalks Celery | 400 g Canned Tomatoes | 3 cloves Garlic | 1 tbsp Lemon Zest | 20 g Parsley | 3 tbsp Flour,"Infarinare gli shanks nella flour. Rosolare su tutti i lati nell'olive oil. (10 min) | Soffriggere onion, carrot, celery. Aggiungere il garlic. (5 min) | Rimettere il veal, aggiungere il wine, fare ridurre. Aggiungere i tomatoes e lo stock fino a coprire. | Brasare a 150°C per 2,5–3 ore fino a quando il collagene si è completamente sciolto e la carne si stacca dall'osso. (180 min) | Preparare la gremolata con lemon zest, garlic e parsley. Distribuire sopra prima di servire.",480,52,12,18,2,gluten,Updated,Osso Buco,it
Tiramisù,Italian,Dessert,make-ahead;no-bake,30,0,8,Savoiardi inzuppati nell'espresso e crema al mascarpone — il grande dessert italiano.,Aggiungere un pizzico di sale Maldon all'espresso per accentuare il contrasto con la crema ricca.,500 g Mascarpone | 5 whole Eggs | 100 g Sugar | 300 g Ladyfingers | 300 ml Espresso | 3 tbsp Cocoa Powder | 2 tbsp Marsala,Sbattere i egg yolks con lo sugar fino a ottenere un composto chiaro. Incorporare il mascarpone. (5 min) | Montare gli whites a neve ferma. Incorporare al mascarpone. | Inzuppare brevemente i ladyfingers nell'espresso con il Marsala. | Fare strati di soaked ladyfingers e composto di mascarpone. Spolverare con cocoa. Ripetere gli strati. Refrigerare per 4+ ore. (240 min) | Spolverare con cocoa prima di servire.,420,10,38,24,1,gluten;dairy;eggs,Updated,Tiramisu,it
Penne all'Arrabbiata,Italian,Dinner,vegan;quick,5,20,4,Salsa di pomodoro piccante con aglio e peperoncino — decisa e appagante.,Sostituire i fiocchi con fresh Calabrian chilies e completare con un olio da condimento cold-pressed di alta qualità.,400 g Penne | 800 g Canned Tomatoes | 4 cloves Garlic | 2 tsp Chilli Flakes | 4 tbsp Olive Oil | 15 g Parsley,"Soffriggere il garlic e il chilli nell'olive oil fino a doratura. (3 min) | Aggiungere i tomatoes, schiacciare e cuocere a fuoco lento 15 minuti. (15 min) | Cuocere le penne al dente. Mantecare con la salsa e il parsley.",480,14,82,12,6,gluten,Updated,Penne all'Arrabbiata,it
Bruschetta al Pomodoro,Italian,Appetizer,vegan;quick,10,5,4,Pane grigliato strofinato con aglio e guarnito con pomodori maturi.,Valorizzare con un filo di aceto balsamico invecchiato 25 anni e una guarnizione di micro-basil per sofisticazione visiva.,8 slices Sourdough Bread | 400 g Tomatoes | 2 cloves Garlic | 15 g Basil | 3 tbsp Olive Oil | 1 tsp Sea Salt,"Grigliare il bread fino a doratura ai bordi. (4 min) | Strofinare immediatamente con il garlic tagliato. | Tagliare a dadini i tomatoes, condire con oil, basil e salt. Distribuire sul bread.",220,7,32,8,3,gluten,Updated,Bruschetta al Pomodoro,it
Gnocchi al Pesto,Italian,Dinner,vegetarian;quick,20,10,4,Gnocchi di patate soffici mantecati con un vivace pesto genovese.,Incorporare il Pecorino Sardo e completare con una spruzzata di lemon per alleggerire i grassi.,800 g Potato Gnocchi | 60 g Basil | 40 g Pine Nuts | 60 g Parmesan | 1 clove Garlic | 100 ml Olive Oil,"Frullare basil, pine nuts, Parmesan, garlic e oil fino a ottenere un pesto liscio. | Cuocere gli gnocchi finché non vengono a galla, circa 2 minuti. (3 min) | Tenere da parte ½ tazza di acqua di cottura. Mantecare con il pesto, aggiungendo acqua per ammorbidire.",540,14,68,24,3,gluten;dairy;nuts,Updated,Gnocchi al Pesto,it
Saltimbocca alla Romana,Italian,Dinner,quick;gluten-free,10,12,4,"Vitello con prosciutto e salvia, fritto in padella con vino bianco e burro.",Completare la salsa con cold butter fuori dal fuoco per un'emulsione di standard Michelin.,600 g Veal Cutlets | 100 g Prosciutto | 12 leaves Sage | 120 ml White Wine | 50 g Butter | 2 tbsp Olive Oil,"Adagiare il prosciutto e la sage su ogni cutlet, fissare con uno stuzzicadenti. | Friggere dal lato del prosciutto per 2 minuti, girare e cuocere 1 minuto. (3 min) | Togliere il veal. Sfumare con il wine, ridurre della metà. (3 min) | Rimettere brevemente il veal e versare la salsa sopra.",340,42,2,18,0,dairy,Updated,Saltimbocca alla Romana,it
