name,cuisine,category,tags,prepTime,cookTime,servings,description,pro_tip,ingredients,instructions,cal,protein,carbs,fat,fiber,allergens,status,name_en,lang
Espaguetis Carbonara,Italian,Dinner,quick;family-friendly,10,20,4,Salsa sedosa de huevo y guanciale sobre espaguetis perfectamente cocidos.,Incorpora más yemas para una textura más cremosa y usa pimienta recién tostada y triturada a mano para una profundidad aromática superior.,400 g Spaghetti | 150 g Guanciale | 4 whole Eggs | 80 g Pecorino Romano | 2 tsp Black Pepper,"Llevar agua salada a ebullición. Cocinar los spaghetti al dente. (10 min) | Tostar la pimienta negra molida en la sartén seca 30 segundos hasta que esté fragante y humeante. Añadir el guanciale y freír hasta que esté crujiente. Retirar la sartén del fuego. | Batir los eggs (o 2 eggs + 4 yolks para una salsa más rica y dorada) con el Pecorino y la pimienta tostada. | Escurrir la pasta, reservar 1 taza del agua. Mezclar la hot pasta con el guanciale fuera del fuego. | Añadir la mezcla de egg (usar 2 extra yolks para una salsa más rica y dorada), mezclar vigorosamente añadiendo pasta water poco a poco hasta que una salsa sedosa y brillante cubra la pasta. No se necesita cream — la emulsión proviene de los eggs, el cheese y el agua con almidón.",620,28,68,26,3,gluten;dairy;eggs,Updated,Spaghetti Carbonara,es
Pizza Margarita,Italian,Dinner,vegetarian;family-friendly,20,15,4,"La pizza napolitana original — tomate, mozzarella, albahaca.",Terminar con aceite de oliva virgen extra de alta calidad y sal Maldon para realzar el sencillo perfil de sabor.,600 g Pizza Dough | 400 g San Marzano Tomatoes | 300 g Mozzarella | 20 g Basil | 2 tbsp Olive Oil,"Preparar la masa: mezclar 400g de 00-grade flour (o plain flour), 7g de yeast, 1 tsp salt, 240ml de warm water, 1 tbsp olive oil. Amasar 8 min hasta que quede suave. Reposar 1 hora hasta que doble su tamaño. O usar 600g de store-bought pizza dough. (60 min) | Precalentar el horno a 260°C con la piedra para pizza. | Triturar los tomatoes a mano, sazonar con salt. | Estirar la masa finamente. Extender la salsa, añadir mozzarella troceada. | Hornear 8–10 min hasta que la corteza se tueste y el cheese burbujee. (10 min) | Cubrir con fresh basil. Terminar con un chorrito de high-quality extra virgin olive oil añadido tras hornear para preservar su aroma.",480,20,64,16,3,gluten;dairy,Updated,Margherita Pizza,es
Lasaña de Carne,Italian,Dinner,family-friendly;freezer-friendly,30,55,8,"Capas de rica boloñesa, bechamel y pasta horneadas hasta dorarse.",Desglasa la carne con vino tinto seco e incorpora un mirepoix finamente picado para mayor complejidad.,400 g Lasagna Sheets | 700 g Ground Beef | 800 g Canned Tomatoes | 1 whole Onion | 3 cloves Garlic | 600 ml Milk | 60 g Butter | 50 g Flour | 100 g Parmesan | 200 g Mozzarella,"Dorar el beef con la onion y el garlic. Añadir los tomatoes, cocinar a fuego lento 45 min, removiendo ocasionalmente, hasta que la salsa esté profunda y rica. (45 min) | Preparar la bechamel: derretir la butter, incorporar la flour con unas varillas, añadir la milk, remover hasta que espese. Sazonar con salt, white pepper y una generosa ralladura de fresh nutmeg. (10 min) | Hacer capas: pasta, boloñesa, bechamel, cheese. Repetir dos veces. | Cubrir con Parmesan. Hornear a 190°C durante 35–40 min. (38 min) | Reposar 10 min antes de cortar. (10 min)",580,34,48,26,4,gluten;dairy;eggs,Updated,Beef Lasagna,es
Risotto ai Funghi,Italian,Dinner,vegetarian,10,30,4,Arroz Arborio cremoso con setas porcini y Parmesano curado.,Terminar con tomillo fresco y mantequilla fría para realzar el perfil aromático y conseguir el brillo digno de un restaurante Michelin.,320 g Carnaroli Rice | 200 g Porcini Mushrooms | 2 whole Shallots | 150 ml White Wine | 1 l Vegetable Broth | 60 g Butter | 80 g Parmesan | 2 cloves Garlic,"Remojar los porcini en hot water durante 20 min. Reservar el líquido de remojo. (20 min) | Saltear los shallots y el garlic en butter hasta que estén blandos. Tostar el rice 3 min removiendo constantemente hasta que los granos estén calientes al tacto y los bordes se vuelvan translúcidos. | Añadir el white wine, remover vigorosamente hasta que se absorba por completo. Añadir el warm broth de un cucharón a la vez, removiendo tras cada adición, durante 18 min. (18 min) | Añadir los mushrooms y el líquido de remojo colado. | Retirar del fuego. Añadir el cold cubed butter y el Parmesan, luego agitar vigorosamente fuera del fuego (mantecatura) hasta que el risotto fluya como una ola suave al mover la sartén. Reposar 1 min. (2 min)",520,14,72,18,3,dairy,Updated,Risotto ai Funghi,es
Osso Buco,Italian,Dinner,slow-cook,20,90,4,Osobuco de ternera braseado en vino blanco — una obra maestra milanesa.,Añade una anchovy al sofrito para un umami profundo y termina la salsa montando mantequilla fría para un brillo profesional.,4 whole Veal Shanks | 250 ml White Wine | 1 whole Onion | 1 whole Carrot | 2 stalks Celery | 400 g Canned Tomatoes | 3 cloves Garlic | 1 tbsp Lemon Zest | 20 g Parsley | 3 tbsp Flour,"Enharinar los shanks con flour. Dorar por todos los lados en olive oil. (10 min) | Saltear la onion, la carrot y el celery. Añadir el garlic. (5 min) | Volver a incorporar el veal, añadir el wine y reducir. Añadir los tomatoes y el stock hasta cubrir. | Brasear a 150°C durante 2,5–3 horas hasta que el colágeno se haya disuelto por completo y la carne se separe del hueso. (180 min) | Preparar la gremolata con lemon zest, garlic y parsley. Esparcir por encima antes de servir.",480,52,12,18,2,gluten,Updated,Osso Buco,es
Tiramisú,Italian,Dessert,make-ahead;no-bake,30,0,8,Bizcochos empapados en espresso y crema de mascarpone — el gran postre italiano.,Añade una pizca de sal Maldon al espresso para acentuar el contraste con la rica crema.,500 g Mascarpone | 5 whole Eggs | 100 g Sugar | 300 g Ladyfingers | 300 ml Espresso | 3 tbsp Cocoa Powder | 2 tbsp Marsala,Batir las egg yolks con el sugar hasta que estén pálidas. Incorporar el mascarpone. (5 min) | Montar las whites a punto de nieve. Incorporar al mascarpone. | Mojar los ladyfingers brevemente en espresso con Marsala. | Hacer capas de soaked ladyfingers y mezcla de mascarpone. Espolvorear con cocoa. Repetir las capas. Refrigerar 4+ horas. (240 min) | Espolvorear con cocoa antes de servir.,420,10,38,24,1,gluten;dairy;eggs,Updated,Tiramisu,es
Penne all'Arrabbiata,Italian,Dinner,vegan;quick,5,20,4,Salsa de tomate picante con ajo y guindilla — intensa y satisfactoria.,Sustituye las escamas por fresh Calabrian chilies y termina con un aceite de acabado cold-pressed de alta calidad.,400 g Penne | 800 g Canned Tomatoes | 4 cloves Garlic | 2 tsp Chilli Flakes | 4 tbsp Olive Oil | 15 g Parsley,"Saltear el garlic y el chilli en olive oil hasta dorar. (3 min) | Añadir los tomatoes, aplastar y cocinar a fuego lento 15 min. (15 min) | Cocinar el penne al dente. Mezclar con la salsa y el parsley.",480,14,82,12,6,gluten,Updated,Penne all'Arrabbiata,es
Bruschetta al Pomodoro,Italian,Appetizer,vegan;quick,10,5,4,Pan tostado frotado con ajo y cubierto con tomates maduros.,Eleva el plato con un chorrito de balsamic de 25 años y una guarnición de micro-basil para mayor sofisticación visual.,8 slices Sourdough Bread | 400 g Tomatoes | 2 cloves Garlic | 15 g Basil | 3 tbsp Olive Oil | 1 tsp Sea Salt,"Tostar el bread a la plancha hasta que los bordes se chamusquen. (4 min) | Frotar inmediatamente con el cut garlic. | Cortar en dados los tomatoes, mezclar con oil, basil y salt. Cubrir el bread.",220,7,32,8,3,gluten,Updated,Bruschetta al Pomodoro,es
Gnocchi al Pesto,Italian,Dinner,vegetarian;quick,20,10,4,Gnocchi de patata esponjosos mezclados con vibrante pesto genovés.,Incorpora Pecorino Sardo y termina con un chorrito de limón para realzar las grasas.,800 g Potato Gnocchi | 60 g Basil | 40 g Pine Nuts | 60 g Parmesan | 1 clove Garlic | 100 ml Olive Oil,"Triturar el basil, los pine nuts, el Parmesan, el garlic y el oil hasta obtener un pesto suave. | Cocinar los gnocchi hasta que floten, unos 2 min. (3 min) | Reservar ½ taza del cooking water. Mezclar con el pesto, añadiendo water para aligerar.",540,14,68,24,3,gluten;dairy;nuts,Updated,Gnocchi al Pesto,es
Saltimbocca a la Romana,Italian,Dinner,quick;gluten-free,10,12,4,"Ternera con prosciutto y salvia, frita en vino blanco y mantequilla.",Termina la salsa con mantequilla fría fuera del fuego para una emulsión digna de un restaurante Michelin.,600 g Veal Cutlets | 100 g Prosciutto | 12 leaves Sage | 120 ml White Wine | 50 g Butter | 2 tbsp Olive Oil,"Colocar el prosciutto y la sage sobre cada cutlet, fijar con un palillo. | Freír con el lado del prosciutto hacia abajo 2 min, dar la vuelta y cocinar 1 min. (3 min) | Retirar el veal. Desglasar con el wine y reducir a la mitad. (3 min) | Volver a incorporar el veal brevemente y verter la salsa por encima.",340,42,2,18,0,dairy,Updated,Saltimbocca alla Romana,es
Berenjena a la Parmesana,Italian,Dinner,vegetarian,30,40,6,"Berenjena frita, salsa de tomate y mozzarella derretida gratinada al horno.",Termina con un chorrito de aceite de oliva virgen extra de calidad y albahaca fresca después de hornear para preservar los volátiles aromáticos.,1 kg Eggplant | 600 ml Tomato Sauce | 300 g Mozzarella | 100 g Parmesan | 3 whole Eggs | 100 g Breadcrumbs | 20 g Basil,"Sala las rodajas de eggplant, escurre 20 min, seca con papel. (20 min) | Pasa por egg, reboza en breadcrumbs y fríe hasta dorar. | Coloca en capas en el molde: sauce, eggplant, mozzarella, Parmesan. Repite. | Hornea a 190°C durante 30 min. (30 min)",380,20,28,22,6,gluten;dairy;eggs,Updated,Eggplant Parmigiana,es
Linguine con Almejas,Italian,Dinner,quick;seafood,10,20,4,Almejas brinas abiertas al vapor en vino blanco con ajo y perejil.,Emulsiona la salsa con un chorrito de agua de cocción de la pasta y un trozo de cold butter para un acabado de restaurante.,400 g Linguine | 1 kg Clams | 200 ml White Wine | 4 cloves Garlic | 20 g Parsley | 1 tsp Chilli Flakes | 4 tbsp Olive Oil,"Cocina el linguine al dente. | Sofríe el garlic y el chilli. Añade las clams y el wine. (2 min) | Tapa y cocina al vapor hasta que las clams se abran, 4 min. (4 min) | Mezcla el pasta escurrido con la salsa de clams y el parsley.",480,26,64,12,3,gluten;shellfish,Updated,Clam Linguine,es
Ribollita,Italian,Lunch,vegan;freezer-friendly,15,60,6,Sopa toscana de pan y alubias — comida campesina en su máxima expresión.,Deja reposar el plato toda la noche para lograr la auténtica complejidad del 'recalentado'.,400 g Cannellini Beans | 300 g Kale | 200 g Crusty Bread | 400 g Canned Tomatoes | 2 whole Carrot | 2 stalks Celery | 1 whole Onion | 3 cloves Garlic | 2 sprigs Rosemary,"Sofríe el onion, la carrot y el celery en olive oil durante 8 min. (8 min) | Añade el garlic, los tomatoes, los beans, el rosemary y 1,5 L de water. Cocina a fuego lento 30 min. (30 min) | Incorpora el kale y cocina 10 min. (10 min) | Añade el bread troceado y remueve para espesar. Reposa 10 min. (10 min) | Rocía con extra virgin olive oil y sirve.",320,14,52,7,12,gluten,Updated,Ribollita,es
Calamares Fritos,Italian,Appetizer,seafood,15,10,4,"Aros de calamar fritos, ligeros como el aire, con limón y alioli.",Incorpora un 30% de cornstarch a la flour y sazona con ralladura de lemon y white pepper para un sabor elevado.,600 g Squid | 150 g Flour | 200 ml Sparkling Water | 2 whole Lemon | 100 ml Aioli,Corta el squid en anillos. Prepara la masa con flour y cold sparkling water. | Calienta el oil a 190°C. Sumerge el squid en la masa y fríe en tandas 2 min. (4 min) | Escurre y sazona con salt. Sirve con lemon y aioli.,320,22,28,14,1,gluten;shellfish;eggs,Updated,Calamari Fritti,es
Panna Cotta,Italian,Dessert,gluten-free;make-ahead,10,5,6,Crema de vainilla sedosa cuajada con gelatina y cubierta con coulis de frutos rojos.,Infusiona el vanilla bean a 65°C durante 20 minutos para maximizar la extracción aromática sin degradar las proteínas de la cream.,600 ml Heavy Cream | 80 g Sugar | 1 whole Vanilla Bean | 6 g Gelatin | 200 g Mixed Berries,Hidrata el gelatin en cold water durante 5 min. (5 min) | Calienta la cream con el sugar y la vanilla hasta que empiece a hervir suavemente. (5 min) | Añade el gelatin escurrido y remueve hasta disolver. Vierte en moldes. | Refrigera 4 horas o más. (240 min) | Cocina los berries con sugar para el coulis. Sirve sobre la panna cotta desmoldada.,340,4,24,26,1,dairy,Updated,Panna Cotta,es
