name,cuisine,category,tags,prepTime,cookTime,servings,description,pro_tip,ingredients,instructions,cal,protein,carbs,fat,fiber,allergens,status,name_en,lang
Spaghetti Carbonara,Italian,Dinner,quick;family-friendly,10,20,4,Seidig-cremige Ei-und-Guanciale-Sauce auf perfekt gekochten Spaghetti.,"Mehr Eigelb für ein cremigeres Mundgefühl verwenden und frisch geröstete, handzerkleinerte Pfefferkörner für eine überlegene aromatische Tiefe nutzen.",400 g Spaghetti | 150 g Guanciale | 4 whole Eggs | 80 g Pecorino Romano | 2 tsp Black Pepper,"Gesalzenes Wasser zum Kochen bringen. Spaghetti al dente kochen. (10 min) | Gebrochenen schwarzen Pfeffer 30 Sekunden in der trockenen Pfanne rösten, bis er duftet und raucht. Guanciale hinzufügen und knusprig braten. Pfanne vom Herd nehmen. | Eggs (oder 2 eggs + 4 yolks für eine reichhaltigere, goldener Sauce) mit Pecorino und dem gerösteten Pfeffer verquirlen. | Pasta abgießen, 1 Tasse Kochwasser aufbewahren. Heiße Pasta mit guanciale vom Herd weg schwenken. | Egg mix hinzufügen (2 extra yolks für eine reichhaltigere, goldenere Sauce verwenden), kräftig schwenken und dabei nach und nach pasta water hinzufügen, bis eine seidig-glänzende Sauce die Pasta überzieht. Keine Sahne nötig – die Emulsion entsteht aus eggs, cheese und stärkehaltigem Wasser.",620,28,68,26,3,gluten;dairy;eggs,Updated,Spaghetti Carbonara,de
Margherita Pizza,Italian,Dinner,vegetarian;family-friendly,20,15,4,"Die originale neapolitanische Pizza – Tomate, Mozzarella, Basilikum.","Mit hochwertigem nativem Olivenöl extra und Maldon-Salz abschließen, um das schlichte Geschmacksprofil zu unterstreichen.",600 g Pizza Dough | 400 g San Marzano Tomatoes | 300 g Mozzarella | 20 g Basil | 2 tbsp Olive Oil,"Den Teig zubereiten: 400g 00-grade flour (oder plain flour), 7g yeast, 1 TL salt, 240ml warmes Wasser, 1 EL olive oil mischen. 8 Minuten kneten bis der Teig glatt ist. 1 Stunde ruhen lassen bis er sich verdoppelt hat. Oder 600g store-bought pizza dough verwenden. (60 min) | Ofen auf 260°C mit Pizzastein vorheizen. | Tomatoes von Hand zerdrücken, mit salt würzen. | Teig dünn ausziehen. Sauce verteilen, torn mozzarella darauflegen. | 8–10 Minuten backen, bis der Rand angeröstet ist und der Käse blubbert. (10 min) | Mit frischem basil belegen. Nach dem Backen mit einem Schuss hochwertigem nativem Olivenöl extra abschließen, um das Aroma zu bewahren.",480,20,64,16,3,gluten;dairy,Updated,Margherita Pizza,de
Rindfleisch-Lasagne,Italian,Dinner,family-friendly;freezer-friendly,30,55,8,"Schichten aus reichhaltiger Bolognese, Béchamel und Pasta, goldbraun gebacken.",Das Fleisch mit trockenem Rotwein ablöschen und ein fein gehacktes Mirepoix für mehr Komplexität einarbeiten.,400 g Lasagna Sheets | 700 g Ground Beef | 800 g Canned Tomatoes | 1 whole Onion | 3 cloves Garlic | 600 ml Milk | 60 g Butter | 50 g Flour | 100 g Parmesan | 200 g Mozzarella,"Beef mit onion und garlic anbraten. Tomatoes hinzufügen, 45 Minuten köcheln lassen und dabei gelegentlich rühren, bis die Sauce kräftig und sämig ist. (45 min) | Béchamel zubereiten: butter schmelzen, flour einrühren, milk hinzufügen, rühren bis sie eindickt. Mit salt, white pepper und einer großzügigen Menge frisch geriebener fresh nutmeg würzen. (10 min) | Schichten: pasta, bolognese, béchamel, cheese. Zweimal wiederholen. | Mit Parmesan abschließen. Bei 190°C 35–40 Minuten backen. (38 min) | 10 Minuten ruhen lassen, bevor man sie aufschneidet. (10 min)",580,34,48,26,4,gluten;dairy;eggs,Updated,Beef Lasagna,de
Risotto ai Funghi,Italian,Dinner,vegetarian,10,30,4,Cremiger Arborio-Reis mit Steinpilzen und gereiftem Parmesan.,"Mit frischem Thymian und kalter Butter abschließen, um das aromatische Profil und den Glanz auf Michelin-Niveau zu verfeinern.",320 g Carnaroli Rice | 200 g Porcini Mushrooms | 2 whole Shallots | 150 ml White Wine | 1 l Vegetable Broth | 60 g Butter | 80 g Parmesan | 2 cloves Garlic,"Porcini 20 Minuten in heißem Wasser einweichen. Einweichwasser aufbewahren. (20 min) | Shallots und garlic in butter weich dünsten. Rice 3 Minuten unter ständigem Rühren rösten, bis die Körner sich heiß anfühlen und die Ränder glasig werden. | White wine hinzufügen, kräftig rühren bis er vollständig aufgesogen ist. Warme broth kellenweise hinzufügen, nach jeder Kelle rühren, 18 Minuten lang. (18 min) | Mushrooms und abgesiebtes Einweichwasser hinzufügen. | Vom Herd nehmen. Kalte, gewürfelte butter und Parmesan hinzufügen, dann kräftig vom Herd weg (mantecatura) schwenken, bis das Risotto wie eine sanfte Welle fließt, wenn die Pfanne bewegt wird. 1 Minute ruhen lassen. (2 min)",520,14,72,18,3,dairy,Updated,Risotto ai Funghi,de
Osso Buco,Italian,Dinner,slow-cook,20,90,4,Geschmorte Kalbshaxen in Weißwein – ein Meisterwerk der Mailänder Küche.,Ein anchovy in das Soffritto geben für tiefes Umami und die Sauce mit einem Buttereinrühren zum Schluss für professionellen Glanz verfeinern.,4 whole Veal Shanks | 250 ml White Wine | 1 whole Onion | 1 whole Carrot | 2 stalks Celery | 400 g Canned Tomatoes | 3 cloves Garlic | 1 tbsp Lemon Zest | 20 g Parsley | 3 tbsp Flour,"Shanks in flour wenden. Von allen Seiten in olive oil anbraten. (10 min) | Onion, carrot, celery andünsten. Garlic hinzufügen. (5 min) | Veal zurückgeben, wine hinzufügen und reduzieren. Tomatoes und stock hinzufügen, bis alles bedeckt ist. | Bei 150°C 2,5–3 Stunden schmoren, bis das Kollagen vollständig abgebaut ist und das Fleisch vom Knochen fällt. (180 min) | Gremolata aus lemon zest, garlic und parsley zubereiten. Vor dem Servieren darüberstreuen.",480,52,12,18,2,gluten,Updated,Osso Buco,de
Tiramisu,Italian,Dessert,make-ahead;no-bake,30,0,8,Espressogetränkte Löffelbiskuits und Mascarponecreme – Italiens großes Dessert.,"Eine Prise Maldon-Salz zum Espresso geben, um den Kontrast zur reichhaltigen Creme zu schärfen.",500 g Mascarpone | 5 whole Eggs | 100 g Sugar | 300 g Ladyfingers | 300 ml Espresso | 3 tbsp Cocoa Powder | 2 tbsp Marsala,Egg yolks mit sugar schaumig schlagen. Mascarpone unterheben. (5 min) | Whites zu steifen Spitzen schlagen. Unter die Mascarponemasse heben. | Ladyfingers kurz in espresso mit Marsala tauchen. | Abwechselnd soaked ladyfingers und mascarpone mixture schichten. Mit cocoa bestäuben. Schichten wiederholen. Mindestens 4 Stunden kühlen. (240 min) | Vor dem Servieren mit cocoa bestäuben.,420,10,38,24,1,gluten;dairy;eggs,Updated,Tiramisu,de
Penne all'Arrabbiata,Italian,Dinner,vegan;quick,5,20,4,Feurige Tomatensauce mit Knoblauch und Chili – kräftig und befriedigend.,Chiliflocken durch frische kalabrische Chilis ersetzen und mit einem hochwertigen kaltgepressten Öl abschließen.,400 g Penne | 800 g Canned Tomatoes | 4 cloves Garlic | 2 tsp Chilli Flakes | 4 tbsp Olive Oil | 15 g Parsley,"Garlic und chilli in olive oil goldbraun dünsten. (3 min) | Tomatoes hinzufügen, zerdrücken und 15 Minuten köcheln lassen. (15 min) | Penne al dente kochen. Mit der Sauce und parsley schwenken.",480,14,82,12,6,gluten,Updated,Penne all'Arrabbiata,de
Bruschetta al Pomodoro,Italian,Appetizer,vegan;quick,10,5,4,Gegrilltes Brot mit Knoblauch eingerieben und mit reifen Tomaten belegt.,Mit einem Schuss 25 Jahre gereiftem Balsamico und einem Micro-Basilikum-Garnish für visuelle Raffinesse verfeinern.,8 slices Sourdough Bread | 400 g Tomatoes | 2 cloves Garlic | 15 g Basil | 3 tbsp Olive Oil | 1 tsp Sea Salt,"Bread grillen bis die Ränder angeröstet sind. (4 min) | Sofort mit cut garlic einreiben. | Tomatoes würfeln, mit oil, basil und salt vermengen. Aufs Brot geben.",220,7,32,8,3,gluten,Updated,Bruschetta al Pomodoro,de
Gnocchi al Pesto,Italian,Dinner,vegetarian;quick,20,10,4,Fluffige Kartoffelgnocchi in leuchtendem Genovese-Pesto geschwenkt.,"Pecorino Sardo einarbeiten und mit einem Spritzer Zitrone abschließen, um die Fette aufzuhellen.",800 g Potato Gnocchi | 60 g Basil | 40 g Pine Nuts | 60 g Parmesan | 1 clove Garlic | 100 ml Olive Oil,"Basil, pine nuts, Parmesan, garlic und oil zu einem glatten pesto mixen. | Gnocchi kochen bis sie aufschwimmen, etwa 2 Minuten. (3 min) | ½ Tasse cooking water aufbewahren. Mit pesto schwenken und dabei water zum Verdünnen hinzufügen.",540,14,68,24,3,gluten;dairy;nuts,Updated,Gnocchi al Pesto,de
Saltimbocca alla Romana,Italian,Dinner,quick;gluten-free,10,12,4,"Kalbfleisch mit Parmaschinken und Salbei, in Weißwein und Butter gebraten.","Die Sauce mit kalter Butter vom Herd weg abschließen, um eine Emulsion auf Michelin-Niveau zu erzielen.",600 g Veal Cutlets | 100 g Prosciutto | 12 leaves Sage | 120 ml White Wine | 50 g Butter | 2 tbsp Olive Oil,"Prosciutto und sage auf jedes cutlet legen, mit einem Zahnstocher befestigen. | Prosciutto-Seite nach unten 2 Minuten braten, wenden und 1 Minute garen. (3 min) | Veal herausnehmen. Mit wine ablöschen, um die Hälfte reduzieren. (3 min) | Veal kurz zurückgeben und mit der Sauce übergießen.",340,42,2,18,0,dairy,Updated,Saltimbocca alla Romana,de
